user_category,content
重度社交应用类,用户反馈机器卡慢，微信消息发进来没反应
反应慢/不流畅类,用户反馈机器玩游戏卡慢死机发烫
网络信号类,用户表示机器信号不稳定
死机类,死机
反应慢/不流畅类,反应慢 卡
死机类,反馈昨天死机，发热
前显示屏类,屏幕不亮
通话类,接收送话无声
开关机类,不开机
前屏裂类,屏裂
电池盖裂类,屏裂，电池盖裂
使用时间类,耗电快 
用户描述无故障（纯服务类）,通话接收音有时有声有时无声
使用时间类,上网慢 耗电快 有时微信来消息没有提示
第三方程序异常类,第三方软件（爱奇艺、抖音）显示异常
充电类,不充电
其他类,拼多多软件打开图片会黑屏
后置拍照类,后置拍照不清楚，信号差
用户描述无故障（纯服务类）,咨询检测
前显示屏类,闪屏
通话类,打电话对方听不清
死机类,死机
通话类,微信视频语音有回声 不清楚有杂音打电话有时有杂音
开关机类,进水、不开机、
开关机类,顺丰取件异常原因:经客户同意，更改收派时间;不充电
前显示屏类,显示闪屏，经常闪屏，一闪一闪
通话类,受话无声
充电类,充电时间长
前置伸缩类,摄像头升不出来
使用时间类,手机耗电快
第三方程序异常类,第三方 应用货拉拉 卡顿
死机类,死机
前显示屏类,显示竖线、前置和后置镜头有水珠
SIM卡类,有时不识卡
前显示屏类,不显示
开关机类,不能开机
死机类,卡顿、显示白屏、死机
指纹识别类,黑屏，死机，音量键卡键，指纹不灵敏
通话类,手机通话对方听不见，有时听筒无声
前显示屏类,前面花屏
充电类,不能充电
使用时间类,待机时间短。检测故障不重现，预防性更换新机并建议用户使用者如有异常可在联系售后处理
内置程序异常类,内置程序停止运行  视频，应用商店
网络信号类,打不进电话
开关机类,"用户反映手机自动关机,售后测试故障未现，销售部已更换新机，售后补录单据"
SIM卡类,用户反映手机不识卡
前显示屏类,(前屏)显示黑屏
开关机类,自动关机
上网类,手机卡顿
前置伸缩类,后摄像头不能弹出
通话类,通话声音小 有杂音听不清楚
网络信号类,信号不好
Wi-Fi类,蓝牙、WiFi连接不上
前显示屏类,闪屏
内置程序异常类,系统应用卡死
第三方程序异常类,影视大全播放视频有异常
重度社交应用类,微信视频对方听不到
上网类,手机有时信号满格无法上网，有时显示3G过一会又恢复
Wi-Fi类,用户反映手机卡顿
重度社交应用类,用户反映手机微信语音转文字无法修改直接发送，售后测试故障重现，显示屏有竖线，建议恢复系统，用户暂不恢复
使用时间类,耗电快
前置拍照类,拍照有一条竖线
通话类,通话对方听不清
死机类,死机
反应慢/不流畅类,用户表示机器卡顿，耗电快，
用户描述无故障（纯服务类）,贴膜，更换保护套
网络信号类,信号差，死机，自动开关机
前显示屏类,"显示条纹,检测机器故障属实"
前显示屏类,花屏跳屏
前触摸屏类,反映触感不好 
Wi-Fi类,网络经常自动掉线，指纹解锁识别率低
死机类,死机  
网络信号类,不读卡
开关机类,用户表示机器不开机，经售后检测故障不存在，沟通后换新机，河间直营蔡瑞召。
重度社交应用类,用户表示机器微信卡顿，经售后检测故障不存在，沟通后换新机，河间直营蔡瑞召。
前显示屏类,解锁 屏不显示
死机类,手机卡死机
反应慢/不流畅类,数据网，机器反应慢，微信发语音等待几秒，打开软件需要等待
通话类,通话断断续续，有时闪屏
网络信号类,用电信卡打不了电话接不了电话
前触摸屏类,经常跳屏
重度社交应用类,微信视屏，打电话有杂音，信号弱
指纹识别类,微信视屏会抖，指纹识别不灵敏
反应慢/不流畅类,反应慢
重启类,用户反馈重启、黑屏
通话类,送话杂音
通话类,送话有杂音
充电类,不能充电
音频类,扬声器有时无声
前触摸屏类,触屏不灵
网络信号类,电话有时打不通
通话类,用户反映手机通话接收断续，售后测试故障未现，用户强烈要求更换新机，考虑用户使用感受给其更换新机
前屏裂类,不开机
反应慢/不流畅类,加载转圈/网络延迟
SIM卡类,不是卡，无信号
通话类,手机偶尔通话声音逐渐变小，微信语音偶尔有杂音，视屏软件缓冲慢
后置拍照类,后置打不开
其他类,显示测试用机
死机类,反应死机
使用时间类,手机耗电快
前触摸屏类,触屏乱跳
重度社交应用类,微信不计步
开关机类,自动关机
充电类,不能充电
开关机类,自动关机
使用时间类,手机发烫，用半天没电
前置伸缩类,摄像头弹不出  检测换新  涿州张晶代理（已拆机检测）
使用时间类,充电时自动开关机，待机耗电快
通话类,微信发消息时偶尔对话诓不弹字 打电话偶尔对方听不见声音 偶尔声音一会大一会小
使用时间类,耗电快
通话类,用户描述故障打电话有回音
重启类,自动关机、重启
使用时间类,导航不好、耗电快
重度社交应用类,微信扫码是提示相机被占用
SIM卡类,不读卡
后置拍照类,后置拍照竖线
前显示屏类,黑屏，死机，音量键卡键，指纹不灵敏
重度社交应用类,微信视频没有反应
发热类,发热 退机
其他类,充电漏电
开关机类,不开机
前显示屏类,"用户反映手机拍照显示白屏,售后测试故障重现，检测使用国寿E店拍摄照片显示白屏，使用其他手机正常，用户强烈要求换机，考虑用户使用感受给其更换新机"
发热类,玩游戏发热
重度社交应用类,微信视屏语音听不清。
反应慢/不流畅类,HC 枣强信誉体验 用户表示机器上网有时卡顿，有时卡机，对方打电话断续 
反应慢/不流畅类,卡顿 换新
重度社交应用类,发朋友圈慢
网络信号类,信号不好
死机类,死机 要求换新
通话类,听筒声音小
通话类,听筒没有声音
网络信号类,网络不好
影音类,用户描述看视屏 抖音模糊，会刺眼
通话类,有时侯通话对方听不到声音
第三方程序异常类,和平精英卡顿
开关机类,WIFF打不开，自动关机
通话类,其他 
电池&安全类,烧焦
其他类,电池鼓包
前触摸屏类,触摸屏无功能，
上网类,有的网页打开的慢 偶然电话声音很小  网络请求失败
重度社交应用类,用户表示机器微信闪退，经售后检测故障不存在，沟通后换新机，河间直营蔡瑞召。
音频类,外放喇叭不行
音频类,喇叭沙
通话类,外放音杂，通话接收音杂
通话类,通话接收无声
网络信号类,打电话断线 呼叫无法接通  门店已换机
开关机类,不能开机
发热类,发热  
使用时间类,用户反馈机器耗电快
反应慢/不流畅类,反应慢（刺激战场）
充电类,充电接触不良
重度社交应用类,用户反应微信异常
死机类,死机，发热
第三方程序异常类,王者游戏卡（数据网）
GPS类,导航信号弱
后置拍照类,摄像头无法拍照
蓝牙类,WiFi，蓝牙无法打开
通话类,枣强信誉体验 用户表示机器死机 打电话听不清
死机类,经常死机
前显示屏类,总是黑屏
通话类,通话时声音双方听到都小声
死机类,其他
死机类,死机
前显示屏类,黑屏
用户描述无故障（纯服务类）,来消息不亮灯
重度社交应用类,视频通话断断续续
使用时间类,待机时间短
重启类,重启
开关机类,开机停在vivo界面，无资料恢复系统
重启类,不充电无法开机
前显示屏类,显示屏闪
发热类,发热
反应慢/不流畅类,HE 枣强信誉体验 用户表示机器 反应慢，耗电快 
使用时间类,待机短
开关机类,自动关机，耗完电之后充电后能开机，跳屏
网络信号类,信号弱  手机卡
外观结构类,后壳松动
充电类,充不起电、
其他类,用户描述看视屏 抖音模糊，会刺眼
前显示屏类,显示重影 闪屏
前显示屏类,来电、拨号无显示
反应慢/不流畅类,卡顿
发热类,反馈昨天死机，发热
外观结构类,屏幕脱胶，后盖裂
前显示屏类,显示屏闪
第三方程序异常类,看抖音的时候有时黑屏
其他类,进水，检测
反应慢/不流畅类,空间不足要求刷机，待机时间短
通话类,通话异常
发热类,死机
前屏裂类,屏裂，电池盖裂
通话类,手机通话有回音，检测功能正常，故障不重现，用户暂不做其它处理
重度社交应用类,手机偶尔通话声音逐渐变小，微信语音偶尔有杂音，视屏软件缓冲慢
前显示屏类,其他
使用时间类,电池不耐用
通话类,打电话有时接收音杂，有时对方听不到
内置程序异常类,机器经常自动关机、计算机不能运行
内置程序异常类,用户反馈机器微信视频声音小
充电类,不充电
发热类,死机，发热
重启类,耗电快、充电不好充、自动重启
开关机类,不充电无法开机
其他类,二维码不能扫码
第三方程序异常类,使用微信会出现白屏
重启类,自动关机重启
音频类,进液、扬声器音杂
GPS类,导航不好、耗电快
前显示屏类,手机屏幕分离
上网类,腾讯播放视频播放一段时间无法播放
开关机类,不开机
前置伸缩类,摄像头升不起来
重度社交应用类,微信视频语音有回声 不清楚有杂音打电话有时有杂音
通话类,打电话有回音
外观结构类,手机未操作时有异常（擦擦擦）响动
死机类,死机  信号不好
使用时间类,电池不禁用
用户描述无故障（纯服务类）,上不起两张卡、
通话类,打电话音质是沙的，有时打电话对方听不见，
充电类,充不进电
通话类,手机流量不能使用，通话断断续续
前显示屏类,解锁时显示屏有出现过竖线，快手和腾讯视频出现2次黑屏
网络信号类,信号不好，上网慢
上网类,信号不好，上网慢
网络信号类,打不通电话，信号差，门店已换机
前显示屏类,显示花屏
重度社交应用类,微信闪退无响应，微信收发消息异常
蓝牙类,蓝牙、WiFi连接不上
Wi-Fi类,WiFi，蓝牙无法打开
通话类,通话有时双方都听不清
死机类,黑屏
重度社交应用类,微信发语音有时没声音
死机类,死机 重启 不开机 摄像头回不去 换新
重启类,重启 测试机器故障未重现，用户强烈要求换新 为安抚用户为其换新处理告知用户可在售后更换 用户表示要求在店面处理
前显示屏类,屏幕颜色偏差
开关机类,不能开机
发热类,耗电快
通话类,机器无送话
上网类,网速慢
反应慢/不流畅类,玩游戏卡
音频类,手机带上耳机不送话
网络信号类,电话有时打不通
反应慢/不流畅类,卡顿死机
发热类,发热
反应慢/不流畅类,HB用户表示反应慢，电池耗电快
网络信号类,死机，信号不好，用户已经恢复出厂
死机类,死机
前屏裂类,内外屏裂，
后置拍照类,打开超广角显示有黑色阴影
通话类,微信视屏，打电话有杂音，信号弱
通话类,通话接收杂音、无声
前置拍照类,微信视屏会抖，指纹识别不灵敏
上网类,用户描述手机打电话接听断断续续，使用中国农业银行APP指纹使用不了，使用手机数据打开微博头像是灰色，手机会自动亮屏，手机放在口袋会自动解锁，手机来信息在主界面不会有显示（要打开信息才能看见有信息未查看）
使用时间类,耗电快
上网类,用户反馈 数据网络不好
使用时间类,待机时间短
网络信号类,断线 信号差 玩游戏卡
开关机类,不开机
通话类,听筒有问题
反应慢/不流畅类,DB HB 用户表示机器反应慢 
使用时间类,待机时间短
前显示屏类,用户反应有时黑屏跳屏
重启类,死机 重启 不开机 摄像头回不去 换新
重启类,重启
内置程序异常类,看视频的时候黑屏，经常死机
死机类,死机
网络信号类,插卡无信号
通话类,通话接收无声
后置拍照类,(后置)拍照/摄像模糊/不清晰，机器进液，已签维修协议
重度社交应用类,微信视频语音通话杂音
开关机类,自动关机  手机打不开
按键类,开机键不灵敏
使用时间类,HE 枣强信誉体验 用户表示机器 反应慢，耗电快 
通话类,打电话偶尔对方听不到自己声音  偶尔自己听不清对方声音 软件闪退 要求换新
反应慢/不流畅类,卡机 黑屏
通话类,通话对方会听到对方自己的回音
通话类,用户描述手机打电话接听断断续续，使用中国农业银行APP指纹使用不了，使用手机数据打开微博头像是灰色，手机会自动亮屏，手机放在口袋会自动解锁，手机来信息在主界面不会有显示（要打开信息才能看见有信息未查看）
上网类,反馈网络慢，要求换机
前显示屏类,不显示
使用时间类,耗电快
用户描述无故障（纯服务类）,贴膜
开关机类,用户反映手机不充电、不开机，自动关机。手机充电即可开机，检测功能正常，故障不重现，用户暂不做其它彩铃手机充不进去电，自动关机
死机类,手机容易死机
重度社交应用类,上网慢 耗电快 有时微信来消息没有提示
通话类,听筒声音小
重度社交应用类,打电话 微信耳机没有声音
开关机类,不能开机 
使用时间类,耗电快
前显示屏类,黑屏
充电类,不开机，不充电
音频类,喇叭杂音
其他类,拍视频画面回抖
开关机类,不开机
开关机类,不开机
其他类,检测真假  
前置拍照类,前置不能拍照
第三方程序异常类,反映手机程序闪退
发热类,手机发热
开关机类,不开机
用户描述无故障（纯服务类）,用户要求做系统
用户描述无故障（纯服务类）,手机卡顿 要求刷机
死机类,录像时会卡住死机
发热类,手机充电发发烫  要求退机
使用时间类,使用耗电正常  待机耗电快 网上购机
前显示屏类,屏幕乱跳
前显示屏类,闪屏
使用时间类,耗电快
发热类,咨询检查机器，机器发热
充电类,机器不充电，按压后盖有响声
前触摸屏类,用户反馈机器屏幕不灵 腾讯视频 和微信异常
开关机类,机器经常自动关机、计算机不能运行
音频类,插耳机一只响一只不响
SIM卡类,有时不读卡（只能识别一张卡）
其他类,全民K歌异常
死机类,白屏  死机  检测换新  涿州张晶代理（已拆机检测）
第三方程序异常类,全民K歌屏幕显示红线
通话类,听微信语音时闪屏，有时听筒无声音，杂音
发热类,通话，视屏，充电时手机发热
通话类,听筒无声
前触摸屏类,触屏不灵
反应慢/不流畅类,死机，发烫
使用时间类,待机时间短，检测软件耗电快，为其先恢复系统排除软件问题试试
使用时间类,不存电
通话类,打电话会自动中断
前触摸屏类,屏幕跳屏
反应慢/不流畅类,卡机，用电快，前置摄像头变形
反应慢/不流畅类,手机卡机  死机
通话类,有时无送话
音频类,外放音杂，通话接收音杂
其他类,黑屏当镜子使用时人脸变形
开关机类,黑屏，开不了机
前屏裂类,屏裂
使用时间类,其他
指纹识别类,用户反馈 网络信号不好 指纹解锁不灵敏（
发热类,用户反馈机器玩游戏卡慢死机发烫
开关机类,不开机
使用时间类,待机时间短
重度社交应用类,朋友圈闪退，有时会自动关机
前触摸屏类,触屏不灵
前显示屏类,手机花屏
开关机类,不开机，不充电
发热类,手机发热
通话类,打电话杂音
前显示屏类,闪屏
重度社交应用类,微信无法写字
充电类,不充电
前触摸屏类,触摸有时大部分无功能
充电类,充电慢
网络信号类,用电信卡打不了电话接不了电话
网络信号类,死机  信号不好
重度社交应用类,微信闪退无响应，微信收发消息异常
发热类,发热，玩微信等软件
前置伸缩类,前置摄像头歪
其他类,机器卡顿反应慢，
开关机类,进水
通话类,打电话对方听不到声音
通话类,打电话对方听不清  断音
通话类,电信卡不能打电话
前置伸缩类,前置摄像头无法伸出
其他类,软件口袋E行销不能使用
用户描述无故障（纯服务类）,咨询
SIM卡类,不能识别SIM卡
开关机类,不开机
死机类,枣强信誉体验 用户表示机器死机 打电话听不清
开关机类,不开机 换新
反应慢/不流畅类,反应迟钝 闪退 充电发热
开关机类,机器不开机。
反应慢/不流畅类,耗电快，玩游戏卡顿
前触摸屏类,屏幕不灵敏、微信视频录不上去
死机类,连接数据线死机
充电类,用户表示机器不开机不充电  
使用时间类,耗电快  检测换新  涿州张晶代理（已拆机检测）
死机类,死机 卡
通话类,打电话偶尔对方听不到自己声音  偶尔自己听不清对方声音 软件闪退 要求换新
通话类,打电话不送话
网络信号类,用户表示机器无法打电话，经售后检测故障不存在，沟通后换新机，河间直营蔡瑞召。
死机类,死机卡屏 反应慢 未重现 已拆机检测 未拆修 未进液 用户强烈要求换新 所属代理馆陶黄金
通话类,微信视屏，打电话有杂音，信号弱
通话类,手机流量不能使用，通话断断续续
前显示屏类,花屏
传感器类,光感无反应
使用时间类,耗电快
指纹识别类,指纹识别故障（无录入也可以解锁）
前置伸缩类,前置摄像头无法完全升起
开关机类,无法开机
开关机类,不开机
Wi-Fi类,无线网信号不好
第三方程序异常类,触屏不灵
发热类,充电发烫（检测）
重度社交应用类,用户反映手机微信有时无法扫码
其他类,接打电话有噪音 看视频无声
反应慢/不流畅类,手机卡
其他类,优酷缓存视频放不起，有时黑屏【检测故障重现，卸载重装，升级，故障重现，核实购机时间，用户有保卡，发票，符合退换机】
使用时间类,耗电快，发烫
前触摸屏类,触屏失灵 卡机
死机类,顺丰取件异常原因:经客户同意，更改收派时间;不充电
按键类,音量键会自动键音量
其他类,5秒熄屏
反应慢/不流畅类,其他
前显示屏类,黑屏
发热类,用户表示手机温度过高  要求换机
前显示屏类,机器花屏
前显示屏类,用户反馈重启、黑屏
前置伸缩类,用户反映机器微信视频后结束降不了
后置拍照类,有时后置拍照提示无法连接摄像头 网页打不开 用户要求退机
上网类,有时后置拍照提示无法连接摄像头 网页打不开 用户要求退机
使用时间类,待机时间短，手机发热（同一天送修2台）
使用时间类,耗电快
开关机类,不开机
反应慢/不流畅类,"用户反映手机反映慢,售后测试故障未现，销售部已更换新机，售后补录单据"
上网类,反映数据网上网慢
前触摸屏类,触屏乱跳
前显示屏类,手机黑屏
发热类,发热，不存电，反应慢
用户描述无故障（纯服务类）,咨询与检测
通话类,通话断线
网络信号类,信号差，反应慢
通话类,通话声音小
充电类,不充电
第三方程序异常类,用户反馈机器屏幕不灵 腾讯视频 和微信异常
死机类,用户反馈机器玩游戏卡慢死机发烫
开关机类,朋友圈闪退，有时会自动关机
前置伸缩类,前置伸缩摄像头有时弹不出
使用时间类,待机时间短，检测耗电偏快，更换新机，并告知耗电情况也和使用频率有关，用的很频繁耗电也会快
反应慢/不流畅类,反映手机卡顿
充电类,不能充电
其他类,手机发热严重，卡机
死机类,卡机，死机，屏有时无感应
前显示屏类,开箱机内屏有黑影
上网类,玩游戏断网，
反应慢/不流畅类,卡顿，发热
反应慢/不流畅类,其他
后置拍照类,拍照有红团
通话类,通话有时杂音
开关机类,黑屏
其他类,反映有电话打进没有显示归属地
前屏裂类,内屏裂
通话类,用户反映手机通话杂音，售后测试故障未现，销售部已更换新机，售后补录单据
充电类,用户反映手机充电口松动，售后测试故障重现，检测FM板坏，需预定配件，用户暂不做处理
用户描述无故障（纯服务类）,咨询购机
音频类,插入耳机单耳机播放
第三方程序异常类,HC 用户表示机器玩游戏闪退，上网卡，待机短
重度社交应用类,微信游戏闪退
网络信号类,有时通话无声信号不好 屏幕有时不管用死机
前触摸屏类,上滑键不好用，检测换新  涿州张晶代理（已拆机检测） 用户已在经销商更换新机
前置伸缩类,死机 重启 不开机 摄像头回不去 换新
使用时间类,耗电快，发烫
前屏裂类,屏裂
开关机类,开不了机
用户描述无故障（纯服务类）,贴膜，插耳机声音小
前屏裂类,屏幕破碎，更换屏幕
前屏裂类,屏碎  后盖碎
前屏裂类,屏裂
用户描述无故障（纯服务类）,贴膜 赠送手机壳
充电类,HB  不能充电 屏有阴影
前屏裂类,屏裂 换屏
通话类,HB 听不清别人
用户描述无故障（纯服务类）,用户要求刷机
前置伸缩类,用户描述前置摄像头收回不到原位置
使用时间类,耗电快
发热类,充电发热 看视频发热
后置拍照类,拍照花屏
网络信号类,电信卡无信号
按键类,开关键失灵
死机类,死机卡顿，发热
前屏裂类,屏碎
用户描述无故障（纯服务类）,DB HB  刷机  贴膜
电池盖裂类,换后盖
用户描述无故障（纯服务类）,用户为老年人 手机内存满
前显示屏类,闪屏
前屏裂类,HC 显示屏裂 电池后盖裂 
外观结构类,屏幕分离
死机类,死机
前屏裂类,屏裂
前屏裂类,换屏
开关机类,进水 不开机
电池盖裂类,手机电池盖非原厂
前显示屏类,手机屏闪
用户描述无故障（纯服务类）,手机贴膜
前屏裂类,屏幕破裂
前屏裂类,内屏裂
开关机类,不开机，刷机检测
前屏裂类,屏幕裂
通话类,听筒声音小  DB
用户描述无故障（纯服务类）,DC 清洗手机
网络信号类,信号弱  WiFi有时连不上
用户描述无故障（纯服务类）,忘记密码
用户描述无故障（纯服务类）,贴膜
网络信号类,来电接听，有时通话自动挂断
通话类,接机时间14:59，机器通话有回音，手机发热
开关机类,接机时间14:02   不能开机
发热类,看电影、玩火山小视频、抖音发热
网络信号类,信号差
通话类,手机信号差，打电话杂音，MWM17A110051908170050
通话类,接打电话没有声音
网络信号类,信号不好
网络信号类,信号弱要求换新
前显示屏类,屏幕白屏
上网类,掉网
开关机类,自动关机，电池发热
前屏裂类,屏碎边框磕痕无底部螺丝
用户描述无故障（纯服务类）,忘记密码刷机
充电类,充不上电
用户描述无故障（纯服务类）,贴膜 清洗手机
用户描述无故障（纯服务类）,检测手机
用户描述无故障（纯服务类）,贴膜
用户描述无故障（纯服务类）,刷机
用户描述无故障（纯服务类）,贴膜 更换保护壳
前屏裂类,屏裂
充电类,不能充电
上网类,上网慢
上网类,用户反应待机时间短，上网慢，免提受话低
反应慢/不流畅类,  手机卡顿
使用时间类,用户描述手机耗电快，经检测故障不重现，用户要求更换新机。
开关机类,程序闪退，自动重启，停在vivo界面，不开机
重度社交应用类,微信语音断续
其他类,放在床头有异响
前显示屏类,屏幕右下方有黑影
LED灯/指示灯类,呼吸灯放音乐有时候不亮 
反应慢/不流畅类,玩游戏卡顿
死机类,换机
开关机类,不开机
使用时间类,电池不耐用
音频类,外放声音异常
网络信号类,注：手机资料无法保存
通话类,手机通话断续，听筒声音小，资料无法保存
Wi-Fi类,无线打不开
用户描述无故障（纯服务类）,用户表示机器要贴膜，领取手机套
开关机类,联系用户
通话类,通话对方听不见
前置拍照类,摄像头有纹
前屏裂类,屏裂
前屏裂类,屏裂 
通话类, 听筒接受音小 来电不亮屏 接完电话后在室内亮屏，在室外不亮屏
用户描述无故障（纯服务类）,贴膜 领手机套 耳机插不进去
网络信号类,通话对方听不清 电话打不通
网络信号类,上网慢 通话时间长挂断
后置拍照类,"用户表示不能充电,相机闪退,通话断续"
通话类,用户表示打电话对方听不到声音
网络信号类,信号差 反应慢
重度社交应用类,视频玩游戏声音时有时无
音频类,用户反映铃声有时高 有时低
通话类,通话中断  有时听不到声音
前屏裂类,屏碎  已订件
SIM卡类,不识卡
通话类,接打电话自动挂断
通话类,打电话对方听不清楚
其他类,手机 除了微信qq 其它软件有更新信息时都没有提示和更新 每次运行软件时会收到好多更新信息 
网络信号类,无信号。
通话类,对方听不到声音。
其他类,进液检测
前显示屏类,HC闪屏
通话类,通话有时不送话
网络信号类,信号差
SIM卡类,手机电话卡频繁掉线 wk
开关机类,用户描述手机不开机，经检测故障重现，用户要求更换新机。
重度社交应用类,用户描述机器微信视频时发送有杂音
发热类,用户描述充电热
网络信号类,新机 信号差  顾客要求换新机 
死机类,有时死机，黑屏
充电类,偶尔充电不显示闪充
开关机类,自动关机（汤斌。中域）【保卡+串贴】
前触摸屏类,009339   屏幕触屏乱跳      到付
